URI,label,split,original
aagfhgtpmv.mp4,FAKE,train,vudstovrck.mp4
aapnvogymq.mp4,FAKE,train,jdubbvfswz.mp4
abarnvbtwb.mp4,REAL,train,
abofeumbvv.mp4,FAKE,train,atvmxvwyns.mp4
abqwwspghj.mp4,FAKE,train,qzimuostzz.mp4
acifjvzvpm.mp4,FAKE,train,kbvibjhfzo.mp4
acqfdwsrhi.mp4,FAKE,train,ccfoszqabv.mp4
acxnxvbsxk.mp4,FAKE,train,fjlyaizcwc.mp4
acxwigylke.mp4,FAKE,train,ffcwhpnpuw.mp4
aczrgyricp.mp4,FAKE,train,slwkmefgde.mp4
adhsbajydo.mp4,FAKE,train,fysyrqfguw.mp4
adohikbdaz.mp4,FAKE,train,qjlhemtkxk.mp4
adylbeequz.mp4,FAKE,train,dlpoieqvfb.mp4
aelfnikyqj.mp4,REAL,train,
aelzhcnwgf.mp4,FAKE,train,qzimuostzz.mp4
aettqgevhz.mp4,FAKE,train,proiippuup.mp4
aevrfsexku.mp4,FAKE,train,gxembgiarp.mp4
afoovlsmtx.mp4,REAL,train,
agdkmztvby.mp4,FAKE,train,iufotyxgzb.mp4
agqphdxmwt.mp4,FAKE,train,aytzyidmgs.mp4
agrmhtjdlk.mp4,REAL,train,
ahbweevwpv.mp4,FAKE,train,dkuayagnmc.mp4
ahdbuwqxit.mp4,FAKE,train,jomvcqqars.mp4
ahfazfbntc.mp4,FAKE,train,sunqwnmlkx.mp4
ahqqqilsxt.mp4,REAL,train,
aipfdnwpoo.mp4,FAKE,train,ygdgwyqyut.mp4
ajqslcypsw.mp4,REAL,train,
ajwpjhrbcv.mp4,FAKE,train,bzythlfnhq.mp4
aklqzsddfl.mp4,FAKE,train,lyvlnqduqg.mp4
aknbdpmgua.mp4,FAKE,train,yxyhvdlrgk.mp4
aknmpoonls.mp4,FAKE,train,swedbyuehz.mp4
akvmwkdyuv.mp4,FAKE,train,xlbnmndmku.mp4
akxoopqjqz.mp4,FAKE,train,meawmsgiti.mp4
akzbnazxtz.mp4,FAKE,train,ppdpgwyjgm.mp4
aladcziidp.mp4,FAKE,train,fewcljwqkr.mp4
alaijyygdv.mp4,FAKE,train,cppdvdejkc.mp4
alninxcyhg.mp4,FAKE,train,tqhbgzfwsf.mp4
altziddtxi.mp4,FAKE,train,meawmsgiti.mp4
alvgwypubw.mp4,FAKE,train,vcxckqbaya.mp4
amaivqofda.mp4,FAKE,train,xobhsemxmv.mp4
amowujxmzc.mp4,FAKE,train,xwcggrygwl.mp4
andaxzscny.mp4,FAKE,train,fysyrqfguw.mp4
aneclqfpbt.mp4,FAKE,train,xxsxktyvzt.mp4
anpuvshzoo.mp4,REAL,train,
aorjvbyxhw.mp4,FAKE,train,bulkxhhknf.mp4
apatcsqejh.mp4,FAKE,train,edyncaijwx.mp4
apgjqzkoma.mp4,FAKE,train,jkddywriuf.mp4
apogckdfrz.mp4,FAKE,train,uonshkejav.mp4
aqpnvjhuzw.mp4,FAKE,train,xngpzquyhs.mp4
arkroixhey.mp4,FAKE,train,fjlyaizcwc.mp4
arlmiizoob.mp4,FAKE,train,meawmsgiti.mp4
arrhsnjqku.mp4,FAKE,train,inkqxytzyu.mp4
asaxgevnnp.mp4,REAL,train,
asdpeebotb.mp4,FAKE,train,znjupdqnwo.mp4
aslsvlvpth.mp4,FAKE,train,jepguaulgf.mp4
asmpfjfzif.mp4,FAKE,train,dzyuwjkjui.mp4
asvcrfdpnq.mp4,FAKE,train,upgerjvcjb.mp4
atkdltyyen.mp4,REAL,train,
atvmxvwyns.mp4,REAL,train,
atxvxouljq.mp4,FAKE,train,wwqiuiwdbz.mp4
atyntldecu.mp4,FAKE,train,mfzqxktxud.mp4
atzdznmder.mp4,FAKE,train,qedsgieuqn.mp4
aufmsmnoye.mp4,FAKE,train,ppdpgwyjgm.mp4
augtsuxpzc.mp4,FAKE,train,ifbdbogiqn.mp4
avfitoutyn.mp4,FAKE,train,mfzqxktxud.mp4
avgiuextiz.mp4,FAKE,train,hyhjfdxqxy.mp4
avibnnhwhp.mp4,FAKE,train,jdubbvfswz.mp4
avmjormvsx.mp4,REAL,train,
avnqydkqjj.mp4,FAKE,train,efwfxwwlbw.mp4
avssvvsdhz.mp4,FAKE,train,gktjowiuqe.mp4
avtycwsgyb.mp4,FAKE,train,qzklcjjxdq.mp4
avvdgsennp.mp4,FAKE,train,gbqrgajyca.mp4
avywawptfc.mp4,FAKE,train,rrcsuwgpnd.mp4
awhmfnnjih.mp4,FAKE,train,xclqbefnvc.mp4
awnwkrqibf.mp4,FAKE,train,cprhtltsjp.mp4
awukslzjra.mp4,FAKE,train,ujzwwfkeia.mp4
axczxisdtb.mp4,FAKE,train,meawmsgiti.mp4
axntxmycwd.mp4,REAL,train,
axoygtekut.mp4,FAKE,train,topyiohccg.mp4
axwgcsyphv.mp4,FAKE,train,mfnowqfdwl.mp4
axwovszumc.mp4,FAKE,train,rvoudrbyac.mp4
aybgughjxh.mp4,REAL,train,
aybumesmpk.mp4,REAL,train,
ayqvfdhslr.mp4,FAKE,train,xxrzzncksa.mp4
aytzyidmgs.mp4,REAL,train,
azpuxunqyo.mp4,FAKE,train,jjyfvzxwwx.mp4
azsmewqghg.mp4,FAKE,train,djxdyjopjd.mp4
bahdpoesir.mp4,FAKE,train,xnhcreiyqg.mp4
bbhpvrmbse.mp4,FAKE,train,imzqmbfugn.mp4
bbhtdfuqxq.mp4,FAKE,train,cpjxareypw.mp4
bbvgxeczei.mp4,FAKE,train,fysyrqfguw.mp4
bchnbulevv.mp4,FAKE,train,iyefnuagav.mp4
bctvsmddgq.mp4,FAKE,train,ybjrqnqnno.mp4
bdbhekrrwo.mp4,FAKE,train,qtnjyomzwo.mp4
bddjdhzfze.mp4,REAL,train,
bdgipnyobr.mp4,FAKE,train,keecvpbncd.mp4
bdnaqemxmr.mp4,REAL,train,
bdxuhamuqx.mp4,FAKE,train,fecysfujzk.mp4
beboztfcme.mp4,REAL,train,
